"Date","Price","Open","High","Low","Change %"
"06/23/2020","-0.414","-0.411","-0.403","-0.443","0.00%"
"06/22/2020","-0.414","-0.395","-0.385","-0.443","-3.50%"
"06/21/2020","-0.429","-0.429","-0.429","-0.429","4.63%"
"06/19/2020","-0.410","-0.381","-0.377","-0.427","0.24%"
"06/18/2020","-0.409","-0.360","-0.356","-0.428","12.36%"
"06/17/2020","-0.364","-0.371","-0.354","-0.399","-2.93%"
"06/16/2020","-0.375","-0.360","-0.360","-0.411","0.54%"
"06/15/2020","-0.373","-0.360","-0.353","-0.400","5.97%"
"06/12/2020","-0.352","-0.325","-0.322","-0.384","6.67%"
"06/11/2020","-0.330","-0.306","-0.306","-0.370","5.77%"
"06/10/2020","-0.312","-0.342","-0.294","-0.363","-2.80%"
"06/09/2020","-0.321","-0.349","-0.321","-0.395","-10.34%"
"06/08/2020","-0.358","-0.348","-0.337","-0.394","-7.25%"
"06/06/2020","-0.386","-0.386","-0.386","-0.386","6.93%"
"06/05/2020","-0.361","-0.348","-0.344","-0.398","-1.63%"
"06/04/2020","-0.367","-0.326","-0.313","-0.386","9.88%"
"06/03/2020","-0.334","-0.370","-0.330","-0.407","-14.14%"
"06/02/2020","-0.389","-0.399","-0.381","-0.431","-3.47%"
"06/01/2020","-0.403","-0.390","-0.383","-0.434","-7.46%"
"05/31/2020","-0.435","-0.435","-0.435","-0.435","0.00%"
"05/30/2020","-0.435","-0.435","-0.435","-0.435","8.87%"
"05/29/2020","-0.400","-0.396","-0.387","-0.429","1.78%"
"05/28/2020","-0.393","-0.345","-0.344","-0.416","0.00%"
"05/27/2020","-0.393","-0.355","-0.352","-0.411","12.61%"
"05/26/2020","-0.349","-0.338","-0.335","-0.390","1.75%"
"05/25/2020","-0.343","-0.306","-0.295","-0.368","-3.52%"
"05/24/2020","-0.356","-0.356","-0.356","-0.356","0.00%"
"05/23/2020","-0.356","-0.356","-0.356","-0.356","9.38%"
"05/22/2020","-0.325","-0.317","-0.305","-0.339","-1.22%"
"05/21/2020","-0.329","-0.335","-0.301","-0.346","0.61%"
"05/20/2020","-0.327","-0.316","-0.302","-0.343","4.47%"
"05/19/2020","-0.313","-0.287","-0.287","-0.351","33.19%"
"05/18/2020","-0.235","-0.249","-0.247","-0.300","-18.12%"
"05/17/2020","-0.287","-0.287","-0.287","-0.287","0.00%"
"05/16/2020","-0.287","-0.283","-0.283","-0.287","11.24%"
"05/15/2020","-0.258","-0.258","-0.258","-0.308","-1.15%"
"05/14/2020","-0.261","-0.267","-0.242","-0.303","-4.04%"
"05/13/2020","-0.272","-0.198","-0.197","-0.289","36.00%"
"05/12/2020","-0.200","-0.145","-0.140","-0.216","16.28%"
"05/11/2020","-0.172","-0.144","-0.141","-0.188","-5.49%"
"05/10/2020","-0.182","-0.182","-0.182","-0.182","0.00%"
"05/09/2020","-0.182","-0.182","-0.182","-0.182","21.33%"
"05/08/2020","-0.150","-0.138","-0.120","-0.179","6.38%"
"05/07/2020","-0.141","-0.109","-0.081","-0.144","34.29%"
"05/06/2020","-0.105","-0.107","-0.103","-0.134","-14.63%"
"05/05/2020","-0.123","-0.136","-0.103","-0.157","-17.45%"
"05/04/2020","-0.149","-0.139","-0.126","-0.162","-24.56%"
"05/03/2020","-0.198","-0.198","-0.198","-0.198","0.00%"
"05/02/2020","-0.198","-0.203","-0.198","-0.203","0.00%"
"05/01/2020","-0.198","-0.189","-0.189","-0.198","17.56%"
"04/30/2020","-0.168","-0.088","-0.085","-0.177","104.88%"
"04/29/2020","-0.082","-0.005","-0.001","-0.103","355.56%"
"04/28/2020","-0.018","0.054","0.055","-0.031","-129.03%"
"04/27/2020","0.062","0.079","0.089","0.034","-16.22%"
"04/26/2020","0.074","0.071","0.074","0.071","0.00%"
"04/25/2020","0.074","0.074","0.074","0.074","-15.91%"
"04/24/2020","0.088","0.209","0.209","0.079","-55.10%"
"04/23/2020","0.196","0.259","0.261","0.182","-24.32%"
"04/22/2020","0.259","0.227","0.268","0.217","23.33%"
"04/21/2020","0.210","0.177","0.212","0.156","20.69%"
"04/20/2020","0.174","0.160","0.181","0.135","55.36%"
"04/19/2020","0.112","0.112","0.112","0.112","0.00%"
"04/18/2020","0.112","0.112","0.112","0.112","-21.68%"
"04/17/2020","0.143","0.135","0.149","0.111","-4.03%"
"04/16/2020","0.149","0.169","0.169","0.120","-0.67%"
"04/15/2020","0.150","0.075","0.151","0.042","172.73%"
"04/14/2020","0.055","0.034","0.080","0.014","685.71%"
"04/13/2020","0.007","0.014","0.014","0.007","0.00%"
"04/12/2020","0.007","0.007","0.007","0.007","0.00%"
"04/11/2020","0.007","0.005","0.007","0.005","0.00%"
"04/10/2020","0.007","0.014","0.014","0.007","-78.79%"
"04/09/2020","0.033","0.060","0.062","-0.001","-29.79%"
"04/08/2020","0.047","0.042","0.051","0.025","67.86%"
"04/07/2020","0.028","0.009","0.033","-0.025","180.00%"
"04/06/2020","0.010","0.018","0.018","-0.030","-121.28%"
"04/05/2020","-0.047","-0.047","-0.047","-0.047","0.00%"
"04/04/2020","-0.047","-0.047","-0.047","-0.047","193.75%"
"04/03/2020","-0.016","-0.002","-0.002","-0.016","-36.00%"
"04/02/2020","-0.025","-0.025","-0.038","-0.068","-50.98%"
"04/01/2020","-0.051","-0.042","-0.026","-0.051","-45.16%"
"03/31/2020","-0.093","-0.100","-0.089","-0.106","-19.13%"
"03/30/2020","-0.115","-0.156","-0.096","-0.177","-41.77%"
"03/29/2020","-0.198","-0.198","-0.198","-0.198","44.16%"
"03/27/2020","-0.137","-0.157","-0.134","-0.181","47.31%"
"03/26/2020","-0.093","0.009","0.016","-0.114","-1,428.57%"
"03/25/2020","0.007","0.018","0.028","-0.009","16.67%"
"03/24/2020","0.006","0.015","0.015","-0.016","-126.09%"
"03/23/2020","-0.023","-0.045","-0.001","-0.052","91.67%"
"03/20/2020","-0.012","0.013","0.013","-0.033","-125.00%"
"03/19/2020","0.048","0.035","0.057","0.023","-84.21%"
"03/18/2020","0.304","0.228","0.355","0.211","223.40%"
"03/17/2020","0.094","0.098","0.174","0.060","248.15%"
"03/16/2020","0.027","0.035","0.069","-0.043","-158.70%"
"03/13/2020","-0.046","-0.070","-0.031","-0.091","-63.20%"
"03/12/2020","-0.125","-0.247","-0.120","-0.274","-49.19%"
"03/11/2020","-0.246","-0.228","-0.195","-0.288","7.42%"
"03/10/2020","-0.229","-0.275","-0.228","-0.313","-29.75%"
"03/09/2020","-0.326","-0.307","-0.297","-0.358","-12.60%"
"03/06/2020","-0.373","-0.395","-0.347","-0.408","-8.35%"
"03/05/2020","-0.407","-0.427","-0.371","-0.451","-7.29%"
"03/04/2020","-0.439","-0.398","-0.397","-0.460","3.54%"
"03/03/2020","-0.424","-0.353","-0.353","-0.425","25.82%"
"03/02/2020","-0.337","-0.356","-0.325","-0.383","-1.17%"
"02/28/2020","-0.341","-0.284","-0.270","-0.368","-2.57%"
"02/27/2020","-0.350","-0.431","-0.317","-0.433","-15.46%"
"02/26/2020","-0.414","-0.435","-0.380","-0.435","-4.39%"
"02/25/2020","-0.433","-0.443","-0.405","-0.453","-0.69%"
"02/24/2020","-0.436","-0.429","-0.414","-0.465","-5.01%"
"02/22/2020","-0.459","-0.459","-0.459","-0.459","6.74%"
